,DC_mu_T5,DC_mu_P3,DC_mu_F3,DC_mu_F7,DC_mu_F8,DC_mu_F4,DC_mu_P4,DC_mu_T6,Pow1_mu_T5,Pow1_mu_P3,Pow1_mu_F3,Pow1_mu_F7,Pow1_mu_F8,Pow1_mu_F4,Pow1_mu_P4,Pow1_mu_T6,Pow2_mu_T5,Pow2_mu_P3,Pow2_mu_F3,Pow2_mu_F7,Pow2_mu_F8,Pow2_mu_F4,Pow2_mu_P4,Pow2_mu_T6
0,1.5093005575968144,1.2021378181831666,1.1674277377935938,1.1960545500218678,1.1085615922201195,1.1969993487276551,1.1054697292499156,1.0684200937258324,2.9988526296718727,2.823484619146684,2.7898239444201622,2.8140528887675997,2.9188675092668266,2.8560308558694456,2.861225221529612,2.8839841078711923,2.887971560557596,2.91387629471564,2.7529325963218163,2.8684880347350163,3.167169582464308,3.075861803629069,3.0694204609656084,2.8144731998522383
1,1.1669930610399253,1.110910225855105,1.0497940113025734,1.1246842999456654,1.1305696910585747,1.211765215044,1.0744494567611955,1.0170790787451032,3.0432387059034465,2.797427372888248,2.7235840588797444,2.685327639575556,2.8020101261266817,2.794601325247426,2.7367410102470187,2.7754618184616717,3.088122185492353,3.192871656325816,3.0488363666808005,3.0497720204532603,2.824209923924185,2.989397205739239,2.7364893772811643,2.6404294017249392
2,1.3107682023419005,1.1305239815338175,1.133650271894073,1.2211949648162028,1.424789755752751,1.4137936354947165,1.2629931003729051,1.1567961629499393,2.883488637424831,2.787340981127137,2.682150958770422,2.7550366094132523,2.809851978160066,2.8626065197991513,2.827487813715937,2.8109175688663397,3.0780477877004557,3.099833896356569,3.047928886627679,3.0752221320876987,3.206311342034554,3.3956232051587345,3.3572082924276057,3.1842493449017186
3,1.168603035886021,1.082939165693423,1.0247736565454766,1.0616909360870108,1.177130795562743,1.1732822383576509,1.1274247598190823,1.0683667113265394,2.932718601292588,2.8568594302907884,2.61437966473184,2.6037471371207537,2.6518263589624493,2.6980439073913045,2.619034453225793,2.5974579911955957,2.6887294618737667,2.8273995224817527,2.8315416662407595,2.701842028627648,2.746110561922935,2.7572623347889462,3.0426844232071732,2.8264146269546
4,1.0471063697805088,1.0109646012383846,0.9961243443215536,1.0272529091480609,1.178387219496063,1.185203315545016,1.0388465527609907,0.9630667716170332,2.375995904372828,2.451892022240473,2.321003823016892,2.2370343737887617,2.3737034516832374,2.338671743961624,2.2898519644369704,2.3951714373811708,2.6123979800098978,2.8509798864602014,3.021735027634646,2.738833603772272,3.312752446525214,3.4531966830193004,3.1696868432056755,2.735600889556264
5,1.0696347373132329,1.0184533891008192,1.0519246702024243,1.0692791509717072,1.0858356234893205,1.1549920159370193,0.9994388742011252,0.974920649418733,2.780817843690105,2.63927952818362,2.6521673470805216,2.5615116218989513,2.54381173159868,2.523667474116265,2.500187586183051,2.507174612026486,2.601198080691702,2.6469324259371256,2.924223143956557,2.9743508439770703,2.9675555930827056,2.968953012122681,2.7363241156798805,2.481810381431306
6,1.0838169383543634,1.0489579682280543,1.0112839714180957,1.0649909194100085,1.030154072467611,1.063593160342122,0.9698149659357088,0.9924592834691068,2.8952840372384703,2.807555537166083,2.6429930385687217,2.7349893721442093,2.66900741810679,2.6437068422229792,2.652716110474591,2.644186559510085,2.4894030304635257,2.611942205884556,2.81217946765262,2.8888318818208467,2.882972339042148,2.8899176236501045,2.68382663683004,2.575463037409076
7,1.1131544723280131,1.052363799682714,1.051822531645575,1.034660969110588,1.0097695452557844,1.1032443449584155,1.008962142052248,0.9922420109534632,2.7879552542111425,2.6907564607450243,2.613937864577449,2.5201483358931727,2.511171889948117,2.509158403779603,2.5376889278745587,2.5214579704916,2.601247373425732,2.479324505812861,2.722680148646618,2.8951439405763724,3.0882376548729598,2.9426023044798835,2.757845284564321,2.639048775128588
8,1.115108276742414,1.0715140989557097,1.043677713731589,1.0974353505732244,1.1053717872202768,1.1384480877163563,1.0255867409097654,1.0085199999578287,3.0427283690627323,2.9654598025925023,2.8857157955794053,2.8845938197009917,2.7680963042061557,2.8410298139500685,2.8268305605120347,2.7924282484475427,2.6311975392547184,2.622430639839308,2.678109642894282,2.783923312633651,2.9626800501774313,2.933313136710767,2.5940489207487016,2.5127012845737084
9,1.1244761112481627,1.0839939932817728,1.0613687439521826,1.0867355160568737,1.186459737994158,1.2312566329196994,1.0891611242273451,1.0158540973196355,2.9433083869351,2.840980917033212,2.773080289321447,2.7368111716904675,2.8538976757444727,2.8300626922749785,2.7719781946587245,2.8090420314182385,2.934302794730008,2.847971547631833,2.6752650584332205,2.7176556602187745,3.122356688184009,3.1625895529229267,3.030992670796558,2.7379022715201287
